lat	lon	title	description	icon	iconSize	iconOffset
37.5187402	139.9417372	Node	305898548	takasi.png	24,24	0,0
37.5184831	139.9416361	Node	272630212	takasi.png	24,24	0,0
37.5217129	139.9340645	Node	272631177	takasi.png	24,24	0,0
37.5217099	139.9341195	Node	1999740382	takasi.png	24,24	0,0
37.5216432	139.9353123	Node	1921430138	takasi.png	24,24	0,0
37.5215995	139.9360419	Node	1921430132	takasi.png	24,24	0,0
37.5215997	139.9360590	Node	1921430133	takasi.png	24,24	0,0
37.5187493	139.9319072	Node	263070416	takasi.png	24,24	0,0
37.5194680	139.9319195	Node	263070413	takasi.png	24,24	0,0
37.5206228	139.9319390	Node	263070411	takasi.png	24,24	0,0
37.5223976	139.9319613	Node	263070408	takasi.png	24,24	0,0
37.5241467	139.9319833	Node	263070405	takasi.png	24,24	0,0
37.5257125	139.9320086	Node	2389222397	takasi.png	24,24	0,0
37.5201354	139.9311825	Node	263072037	takasi.png	24,24	0,0
37.5197935	139.9313713	Node	263072034	takasi.png	24,24	0,0
37.5196010	139.9314600	Node	263072021	takasi.png	24,24	0,0
37.5195140	139.9315140	Node	263072018	takasi.png	24,24	0,0
37.5193940	139.9315740	Node	263072026	takasi.png	24,24	0,0
37.5184925	139.9317907	Node	263072024	takasi.png	24,24	0,0
37.5242246	139.9403454	Node	944844770	takasi.png	24,24	0,0
37.5242188	139.9404189	Node	1999740393	takasi.png	24,24	0,0
37.5241251	139.9416005	Node	1921430229	takasi.png	24,24	0,0
37.5241282	139.9418112	Node	2358258687	takasi.png	24,24	0,0
37.5241303	139.9419521	Node	1921430230	takasi.png	24,24	0,0
37.5241183	139.9421197	Node	2358120270	takasi.png	24,24	0,0
37.5241158	139.9423647	Node	1921430227	takasi.png	24,24	0,0
37.5241160	139.9425079	Node	1979215162	takasi.png	24,24	0,0
37.5240930	139.9426547	Node	1921430226	takasi.png	24,24	0,0
37.5239824	139.9432001	Node	944844781	takasi.png	24,24	0,0
37.5242460	139.9400261	Node	944844774	takasi.png	24,24	0,0
37.5242291	139.9402708	Node	1999740395	takasi.png	24,24	0,0
37.5242246	139.9403454	Node	944844770	takasi.png	24,24	0,0
37.5267038	139.9337585	Node	300322990	takasi.png	24,24	0,0
37.5266026	139.9333519	Node	300322996	takasi.png	24,24	0,0
37.5264622	139.9327590	Node	300323002	takasi.png	24,24	0,0
37.5263479	139.9323062	Node	1242602282	takasi.png	24,24	0,0
37.5267038	139.9337585	Node	300322990	takasi.png	24,24	0,0
37.5263479	139.9323062	Node	1242602282	takasi.png	24,24	0,0
37.5262414	139.9317941	Node	300323009	takasi.png	24,24	0,0
37.5262914	139.9315461	Node	2389222417	takasi.png	24,24	0,0
37.5264493	139.9322809	Node	587601928	takasi.png	24,24	0,0
37.5264493	139.9322809	Node	587601928	takasi.png	24,24	0,0
37.5265169	139.9326045	Node	2389222432	takasi.png	24,24	0,0
37.5265985	139.9329527	Node	263997875	takasi.png	24,24	0,0
37.5186767	139.9374571	Node	1272496244	takasi.png	24,24	0,0
37.5189480	139.9374478	Node	1979215115	takasi.png	24,24	0,0
37.5192792	139.9374344	Node	1979215124	takasi.png	24,24	0,0
37.5196188	139.9374381	Node	1272496230	takasi.png	24,24	0,0
37.5199964	139.9374553	Node	1272496100	takasi.png	24,24	0,0
37.5203220	139.9374706	Node	1979215140	takasi.png	24,24	0,0
37.5210392	139.9374761	Node	1272496039	takasi.png	24,24	0,0
37.5214800	139.9374934	Node	1999740359	takasi.png	24,24	0,0
37.5215248	139.9374990	Node	944844729	takasi.png	24,24	0,0
37.5199778	139.9389740	Node	1272496229	takasi.png	24,24	0,0
37.5199832	139.9384130	Node	1923503364	takasi.png	24,24	0,0
37.5199904	139.9379680	Node	1923503366	takasi.png	24,24	0,0
37.5199964	139.9374553	Node	1272496100	takasi.png	24,24	0,0
37.5196438	139.9359303	Node	1272496028	takasi.png	24,24	0,0
37.5196320	139.9365014	Node	1979215127	takasi.png	24,24	0,0
37.5196313	139.9369948	Node	1979215126	takasi.png	24,24	0,0
37.5196188	139.9374381	Node	1272496230	takasi.png	24,24	0,0
37.5241633	139.9371543	Node	1912565664	takasi.png	24,24	0,0
37.5238571	139.9371027	Node	1912565656	takasi.png	24,24	0,0
37.5231039	139.9369893	Node	1912565650	takasi.png	24,24	0,0
37.5239237	139.9361010	Node	1912565662	takasi.png	24,24	0,0
37.5239237	139.9362694	Node	1912565660	takasi.png	24,24	0,0
37.5238716	139.9369861	Node	1912565658	takasi.png	24,24	0,0
37.5238571	139.9371027	Node	1912565656	takasi.png	24,24	0,0
37.5247115	139.9371063	Node	1912565666	takasi.png	24,24	0,0
37.5248325	139.9359738	Node	1912565680	takasi.png	24,24	0,0
37.5245459	139.9359167	Node	1912565665	takasi.png	24,24	0,0
37.5239237	139.9362694	Node	1912565660	takasi.png	24,24	0,0
37.5237683	139.9363596	Node	1912565654	takasi.png	24,24	0,0
37.5237208	139.9369614	Node	1912565653	takasi.png	24,24	0,0
